borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Queens,2016,7,22.628386010925382,2.8944541169221707,1061659.72,366791.0,103326926.9060674,25720703.71910112,8126221.197732549
Staten Island,2016,7,36.02181818181818,9.498945454545456,2612.21,275.0,254235.53955056178,19283.98876404494,19994.53862196914
Unknown,2016,7,22.577805486284287,5.179866999168745,6231.38,1203.0,606474.3096629214,84358.68539325842,47696.612476855254
Bronx,2016,8,22.61229227945798,3.262420431405084,173025.73,53036.0,16839874.980449438,3719075.0112359547,1284217.054808964
Brooklyn,2016,8,23.568161893261887,3.1698479302667826,1512074.52,477018.0,147163926.87910113,33450217.280898873,11222792.625848642
EWR,2016,8,26.697222222222223,18.118333333333336,108.71,6.0,10580.29235955056,420.7415730337078,806.8582402645113
Manhattan,2016,8,19.04472300756548,2.615604882591184,932546.84,356532.0,90760907.05707864,25001305.752808988,6921470.906877296
Queens,2016,8,22.39188347276271,2.904859374954248,992041.43,341511.0,96551268.1647191,23947979.2247191,7363046.660650258
Staten Island,2016,8,36.986626746506985,6.911497005988024,1154.22,167.0,112335.43415730337,11710.6404494382,8566.754834680383
Unknown,2016,8,19.136131386861315,5.056815693430657,5542.27,1096.0,539406.0982022472,76855.4606741573,41135.37134827334
Bronx,2016,9,22.8923559139577,3.1618696215505406,163503.44,51711.0,15913110.081797753,3626161.247191011,1211937.7136193975
Brooklyn,2016,9,24.77381249753656,3.0459162281738994,1236447.05,405936.0,120338251.09101124,28465691.865168538,9164925.281012123
EWR,2016,9,13.950000000000005,10.48,31.44,3.0,3059.9244943820227,210.3707865168539,233.0429360764144
