pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Brooklyn,2015,3,15.89510589928125,4.984624346858583,1415693.13,284012.0
EWR,2015,3,4.770141342756184,7.024028268551237,1987.8,283.0
Manhattan,2015,3,14.166016959549545,17.278029545168405,207634590.61,12017261.0
Queens,2015,3,33.72386945176328,31.71361484089988,22532396.49,710496.0
Staten Island,2015,3,20.91468253968254,5.957142857142857,1501.2,252.0
Unknown,2015,3,28.523867278233517,2.873482612768138,684110.12,238077.0
Bronx,2015,4,14.57250749494527,3.59617757791257,34386.65,9562.0
Brooklyn,2015,4,15.611855890164607,27.409782460037704,7255013.09,264687.0
EWR,2015,4,8.44531914893617,6.061404255319149,1424.43,235.0
Manhattan,2015,4,78.78911425776539,28.76155614082076,339663940.24,11809651.0
Queens,2015,4,32.6629992336105,56.48500252101809,39209855.29,694164.0
Staten Island,2015,4,16.69969696969697,7.615181818181818,837.67,110.0
Unknown,2015,4,15.380794390052822,121.50039969431748,25279251.66,208059.0
Bronx,2015,5,16.084516054744046,3.73748618239242,37868.21,10132.0
Brooklyn,2015,5,16.498806581798295,3.5754023979122103,1032998.11,288918.0
EWR,2015,5,5.428381642512077,6.963768115942029,1922.0,276.0
Manhattan,2015,5,14.36611428569336,12.74838862396246,150865744.06,11834103.0
Queens,2015,5,34.85055506049361,35.759575431923075,26886551.98,751870.0
Staten Island,2015,5,14.577898550724637,5.265507246376812,726.64,138.0
Unknown,2015,5,14.691984048710712,2.957353925569976,563736.72,190622.0
Bronx,2015,6,14.926733614819886,3.819469359808285,33470.01,8763.0
Brooklyn,2015,6,15.805741387663142,3.4997473208657284,799454.28,228432.0
EWR,2015,6,3.9951822916666666,6.410546875,1641.1,256.0
Manhattan,2015,6,14.380333136099498,11.422779289943808,127065306.25,11123852.0
Queens,2015,6,34.78802184573195,13.90720515931116,9973552.18,717150.0
Staten Island,2015,6,16.81990291262136,7.209611650485437,742.59,103.0
Unknown,2015,6,14.956763098852305,46.56670241933586,7914663.01,169964.0
Bronx,2015,7,15.270773610447524,3.926321070234114,32871.16,8372.0
Brooklyn,2015,7,15.579035318480647,20.004593929125235,4037907.28,201849.0
EWR,2015,7,5.734535256410256,6.356634615384616,1322.18,208.0
Manhattan,2015,7,13.899542792023643,6.611799768452052,69079713.72,10447944.0
Queens,2015,7,32.54459026668474,15.340221233591317,10409935.49,678604.0
Staten Island,2015,7,32.73724489795919,8.645102040816326,847.22,98.0
Unknown,2015,7,21.551481525581067,5.246336448969061,793104.4199999999,151173.0
Bronx,2015,8,13.973103713603043,3.7182687401287815,30605.07,8231.0
Brooklyn,2015,8,15.25310585404972,48.09782181234964,8996697.57,187050.0
EWR,2015,8,5.369047619047619,7.063277310924369,1681.06,238.0
Manhattan,2015,8,13.586887723445122,5.687201762444669,57008686.77,10024031.0
Queens,2015,8,31.744266465391927,30.09509483915372,20813526.83,691592.0
Staten Island,2015,8,20.22308743169399,9.321147540983606,1137.18,122.0
Unknown,2015,8,14.03993503780758,2.999114132932281,430738.77,143622.0
Bronx,2015,9,15.186458750723476,3.868379858421264,28962.56,7487.0
Brooklyn,2015,9,16.70994869678704,3.524430858563281,717436.67,203561.0
EWR,2015,9,3.741599462365591,6.4575000000000005,1601.46,248.0
Manhattan,2015,9,14.921309630359136,5.987171380078636,60526159.53,10109308.0
Queens,2015,9,34.505994134971566,11.303820916135738,7742710.39,684964.0
Staten Island,2015,9,17.684883720930234,6.087151162790698,1046.99,172.0
Unknown,2015,9,15.417877358379362,71.93895758630201,10171665.03,141393.0
Bronx,2015,10,16.568002747496234,3.858009837809093,29019.95,7522.0
Brooklyn,2015,10,16.885079770569238,3.4450467537475298,714743.85,207470.0
EWR,2015,10,3.5804918032786883,6.783672131147541,2069.02,305.0
Manhattan,2015,10,15.465489088245604,3.0455173412764607,33903122.37,11132139.0
Queens,2015,10,36.37206873935602,13.223772593433369,9530029.09,720674.0
Staten Island,2015,10,15.746194225721784,6.515354330708661,827.4499999999999,127.0
Unknown,2015,10,15.722124887690926,48.03385078850117,7876686.919999999,163982.0
Bronx,2015,11,15.98887454271573,3.718028405422853,28796.13,7745.0
Brooklyn,2015,11,19.04399739856039,5.450817800019841,988985.48,181438.0
EWR,2015,11,4.048464912280702,6.596381578947368,2005.3,304.0
Manhattan,2015,11,15.674955714973386,5.925182617267579,60551846.79,10219406.0
Queens,2015,11,34.496838093462145,38.9513740059672,25901417.27,664968.0
Staten Island,2015,11,47.00524691358024,9.611203703703705,1038.01,108.0
Unknown,2015,11,21.88027389676151,97.03365608320787,15598548.35,160754.0
Bronx,2015,12,15.111699948796725,3.6012168093043666,32821.49,9114.0
Brooklyn,2015,12,16.016625441212685,3.440137740443812,628633.57,182735.0
EWR,2015,12,14.923582089552236,6.640955223880597,2224.72,335.0
Manhattan,2015,12,15.539369026996829,4.72165538433626,49030066.13,10384084.0
Queens,2015,12,35.402785811185794,13.411565378923353,8699814.23,648680.0
Staten Island,2015,12,19.912912912912915,9.65918918918919,1072.17,111.0
Unknown,2015,12,16.03199131834345,2.902880392809378,462321.44,159263.0
Bronx,2016,1,14.745235836002056,3.642520460206381,30710.09,8431.0
Brooklyn,2016,1,15.896114145095405,3.379317298481662,613839.47,181646.0
EWR,2016,1,4.554129793510325,6.163141592920354,1392.87,226.0
Manhattan,2016,1,14.26469270388514,3.985102992734212,39311945.12,9864725.0
Queens,2016,1,32.317981842848376,13.79578387607776,8613080.36,624327.0
Staten Island,2016,1,16.35,5.700967741935483,706.92,124.0
Unknown,2016,1,14.641714949521072,2.883191347876683,468261.99,162411.0
Bronx,2016,2,15.804948573258091,3.5589662624564773,29642.63,8329.0
Brooklyn,2016,2,15.784700815466866,3.3240150672355133,615507.87,185170.0
EWR,2016,2,2.1137614678899084,7.541926605504588,1644.14,218.0
Manhattan,2016,2,15.855048809367483,3.48827364496918,36127910.61,10356960.0
Queens,2016,2,39.68327245027555,11.96254063141532,7079969.86,591845.0
Staten Island,2016,2,14.10159722222222,3.612895833333333,1734.19,480.0
Unknown,2016,2,14.732349209726385,2.854421080004492,482976.61,169203.0
Bronx,2016,3,15.734918422139613,3.5390974803800086,34272.62,9684.0
Brooklyn,2016,3,16.30726304920431,3.4095434750393183,713238.99,209189.0
EWR,2016,3,5.477231638418079,6.819966101694916,2011.89,295.0
Manhattan,2016,3,14.776248563422817,5.367767171718724,59382287.75,11062754.0
Queens,2016,3,35.413256222010126,18.40538408340063,12534986.83,681050.0
Staten Island,2016,3,16.673260381593714,3.498232323232323,2077.95,594.0
Unknown,2016,3,18.277441437915268,2.9442211324273453,511508.37,173733.0
Bronx,2016,4,17.0840625351479,3.805111910921157,33831.25,8891.0
Brooklyn,2016,4,16.52356992402906,3.430219156036258,724685.25,211265.0
EWR,2016,4,9.484920634920634,7.303589743589744,1993.88,273.0
Manhattan,2016,4,15.23555970974724,2.6609412355879805,28775357.32,10813977.0
Queens,2016,4,33.9438564072783,26.137514848941382,17193022.03,657791.0
Staten Island,2016,4,18.007079414838035,3.4342476489028217,2191.05,638.0
Unknown,2016,4,15.972872464323776,2.938050324966452,475109.18,161709.0
Bronx,2016,5,15.835440673785106,3.7031218944920186,35027.83,9459.0
Brooklyn,2016,5,17.132932545861923,56.92878481354986,13051322.42,229257.0
EWR,2016,5,9.01327485380117,6.483333333333333,1847.75,285.0
Manhattan,2016,5,15.56657738489802,4.762800210805911,50834914.56,10673325.0
Queens,2016,5,35.82003417354028,11.181168884126809,7951756.6,711174.0
Staten Island,2016,5,15.048404516445752,3.0560088365243008,2075.03,679.0
Unknown,2016,5,17.00149818640593,3.1809001304640794,443741.93,139502.0
Bronx,2016,6,16.698844129091324,3.74613298237583,32733.71,8738.0
Brooklyn,2016,6,16.908881029425306,3.471694487194665,703809.68,202728.0
EWR,2016,6,3.473790849673202,6.265098039215686,1597.6,255.0
Manhattan,2016,6,15.668961025432791,2.5178903156076085,25299560.46,10047920.0
