borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,9,25.259492291505627,5.58318249162587,173346.65,31048.0
Brooklyn,2019,9,180.03466873579555,3.1689500823315533,163877.99666666667,40029.0
Manhattan,2019,9,11.668098435029172,2.647746599051202,84323.878,30566.2
Queens,2019,9,130.3248352428599,2.069902684932928,48757.78199999999,13087.6
Staten Island,2019,9,47.08541666666667,17.29173913043478,3181.68,184.0
Unknown,2019,9,22.24963144963145,8.117985257985257,3304.02,407.0
Bronx,2019,10,167.83559171443292,3.9909578026879515,65181.666666666664,11360.333333333334
Brooklyn,2019,10,22.624396100817656,5.737913338985832,269917.82,63985.5
EWR,2019,10,0.5666666666666667,0.0133333333333333,0.04,3.0
Manhattan,2019,10,12.049407769436815,2.0310016291323416,94533.196,33190.2
Queens,2019,10,300.95573912216975,2.753989517858692,78848.86333333333,22407.333333333332
