Start date/time in UTC,Timezone,Duration (s),Observer ID,Latitude,Longitude,Mean volume (dBA),Could control noise exposure,Indoors,Noise_Source,Nominated as noise refuge,Start date UTC,Start time UTC,Mood_scale,timestamp,hour_of_day,day_of_month,month,day_of_week
2022-05-04 12:06:16,New York,38,141,40.90713,-73.7812,60,False,False,,False,2022-05-04,12:06:16,Very Sad,2022-05-04 12:06:16,12,4,5,3
2022-05-04 12:47:52,New York,29,141,40.90698,-73.78115,76,False,False,,False,2022-05-04,12:47:52,Very Sad,2022-05-04 12:47:52,12,4,5,3
2022-05-04 12:49:58,New York,29,141,40.90754,-73.78171,80,False,False,,False,2022-05-04,12:49:58,Very Sad,2022-05-04 12:49:58,12,4,5,3
2022-05-04 13:25:27,New York,29,141,40.90708,-73.7813,74,False,False,,False,2022-05-04,13:25:27,Very Sad,2022-05-04 13:25:27,13,4,5,3
2022-05-08 09:54:58,New York,29,205,40.71589,-74.01242,49,False,True,"automobile,delivery truck,bus",False,2022-05-08,09:54:58,Neutral,2022-05-08 09:54:58,9,8,5,7
2022-05-08 15:51:03,New York,29,145,33.69654,-84.56849,57,True,False,,False,2022-05-08,15:51:03,Neutral,2022-05-08 15:51:03,15,8,5,7
2022-05-08 17:07:24,New York,29,130,43.01869,-76.16142,76,False,False,,False,2022-05-08,17:07:24,Very Sad,2022-05-08 17:07:24,17,8,5,7
2022-05-09 16:58:13,New York,29,73,33.47896,-84.44457,81,False,True,,False,2022-05-09,16:58:13,Neutral,2022-05-09 16:58:13,16,9,5,1
2022-05-09 17:00:21,New York,29,73,33.47876,-84.44443,80,False,True,film projector,False,2022-05-09,17:00:21,Happy,2022-05-09 17:00:21,17,9,5,1
2022-05-10 11:23:47,New York,29,352,44.73036,-73.00058,45,True,False,,False,2022-05-10,11:23:47,Happy,2022-05-10 11:23:47,11,10,5,2
2022-05-10 15:09:59,New York,29,56,42.71514,-76.40444,42,True,True,,False,2022-05-10,15:09:59,Extremely Happy,2022-05-10 15:09:59,15,10,5,2
2022-05-10 16:11:12,New York,24,145,33.69629,-84.56822,56,True,True,,False,2022-05-10,16:11:12,Neutral,2022-05-10 16:11:12,16,10,5,2
2022-05-10 16:24:53,New York,29,145,33.69679,-84.56823,67,False,True,,False,2022-05-10,16:24:53,Neutral,2022-05-10 16:24:53,16,10,5,2
2022-05-10 21:44:06,New York,29,284,41.62093,-83.57552,42,False,True,house with garden,False,2022-05-10,21:44:06,Somewhat Sad,2022-05-10 21:44:06,21,10,5,2
2022-05-11 06:47:37,New York,28,143,40.87064,-73.91903,65,False,True,"gear,tractor,seedling",False,2022-05-11,06:47:37,Very Sad,2022-05-11 06:47:37,6,11,5,3
2022-05-11 10:13:25,New York,29,275,40.79091,-73.95352,69,False,False,"bus,automobile,delivery truck",False,2022-05-11,10:13:25,Neutral,2022-05-11 10:13:25,10,11,5,3
2022-05-11 13:59:50,New York,29,130,43.02806,-76.13649,47,False,True,,False,2022-05-11,13:59:50,Happy,2022-05-11 13:59:50,13,11,5,3
2022-05-14 00:38:25,New York,27,143,40.87068,-73.91924,55,False,True,"automobile,multiple musical notes,speaking head in silhouette",False,2022-05-14,00:38:25,Somewhat Sad,2022-05-14 00:38:25,0,14,5,6
2022-05-14 06:47:34,New York,29,359,40.50728,-75.70297,72,False,False,,False,2022-05-14,06:47:34,Very Sad,2022-05-14 06:47:34,6,14,5,6
2022-05-14 06:49:20,New York,29,359,40.50728,-75.70288,74,False,False,,False,2022-05-14,06:49:20,Very Sad,2022-05-14 06:49:20,6,14,5,6
2022-05-14 13:02:23,New York,29,58,40.78601,-73.97536,68,False,False,"taxi,ambulance",False,2022-05-14,13:02:23,Somewhat Sad,2022-05-14 13:02:23,13,14,5,6
2022-05-14 15:36:52,New York,29,359,40.50171,-75.69408,73,False,False,,False,2022-05-14,15:36:52,Very Sad,2022-05-14 15:36:52,15,14,5,6
2022-05-14 16:40:36,New York,29,359,40.50724,-75.70286,72,False,False,,False,2022-05-14,16:40:36,Very Sad,2022-05-14 16:40:36,16,14,5,6
2022-05-14 16:58:13,New York,29,58,40.72896,-73.98697,72,False,False,,False,2022-05-14,16:58:13,Somewhat Sad,2022-05-14 16:58:13,16,14,5,6
2022-05-14 17:18:35,New York,29,359,40.50725,-75.70279,72,False,False,,False,2022-05-14,17:18:35,Very Sad,2022-05-14 17:18:35,17,14,5,6
2022-05-14 19:01:34,New York,29,359,40.50641,-75.70168,76,False,False,,False,2022-05-14,19:01:34,Very Sad,2022-05-14 19:01:34,19,14,5,6
2022-05-14 19:02:43,New York,29,359,40.50641,-75.70168,76,False,False,,False,2022-05-14,19:02:43,Very Sad,2022-05-14 19:02:43,19,14,5,6
2022-05-14 19:03:52,New York,29,359,40.50686,-75.70257,76,False,False,,False,2022-05-14,19:03:52,Very Sad,2022-05-14 19:03:52,19,14,5,6
2022-05-14 19:06:44,New York,29,359,40.50725,-75.70281,76,False,False,,False,2022-05-14,19:06:44,Very Sad,2022-05-14 19:06:44,19,14,5,6
2022-05-14 21:13:09,New York,28,143,40.87139,-73.92009,48,False,False,multiple musical notes,True,2022-05-14,21:13:09,Neutral,2022-05-14 21:13:09,21,14,5,6
2022-05-15 00:17:56,New York,29,359,40.50576,-75.70242,70,False,False,,False,2022-05-15,00:17:56,Very Sad,2022-05-15 00:17:56,0,15,5,7
2022-05-15 02:24:26,New York,29,360,25.09557,-80.44093,58,True,True,"medium white circle,headphone",False,2022-05-15,02:24:26,Happy,2022-05-15 02:24:26,2,15,5,7
2022-05-15 06:12:56,New York,29,359,40.50725,-75.70279,73,False,False,,False,2022-05-15,06:12:56,Very Sad,2022-05-15 06:12:56,6,15,5,7
2022-05-16 15:01:08,New York,29,78,32.49692,-83.6563,48,False,True,house with garden,False,2022-05-16,15:01:08,Happy,2022-05-16 15:01:08,15,16,5,1
2022-05-16 15:15:51,New York,29,359,40.50724,-75.71479,72,False,False,,False,2022-05-16,15:15:51,Very Sad,2022-05-16 15:15:51,15,16,5,1
2022-05-16 18:16:27,New York,29,359,40.50726,-75.70279,74,False,False,,False,2022-05-16,18:16:27,Very Sad,2022-05-16 18:16:27,18,16,5,1
2022-05-16 18:17:59,New York,29,359,40.50726,-75.70279,77,False,False,,False,2022-05-16,18:17:59,Very Sad,2022-05-16 18:17:59,18,16,5,1
2022-05-16 22:09:19,New York,29,359,40.50725,-75.70279,76,False,False,,False,2022-05-16,22:09:19,Very Sad,2022-05-16 22:09:19,22,16,5,1
2022-05-17 05:45:59,New York,29,359,40.50726,-75.7028,74,False,False,,False,2022-05-17,05:45:59,Very Sad,2022-05-17 05:45:59,5,17,5,2
2022-05-17 18:09:45,New York,29,359,40.50726,-75.70281,75,False,False,,False,2022-05-17,18:09:45,Very Sad,2022-05-17 18:09:45,18,17,5,2
2022-05-18 07:21:59,New York,29,205,42.33474,-76.46558,63,True,False,adult+microphone,False,2022-05-18,07:21:59,Neutral,2022-05-18 07:21:59,7,18,5,3
2022-05-18 17:54:37,New York,29,359,40.50728,-75.70277,70,False,False,,False,2022-05-18,17:54:37,Very Sad,2022-05-18 17:54:37,17,18,5,3
2022-05-18 18:13:17,New York,29,359,40.50725,-75.70258,74,False,False,,False,2022-05-18,18:13:17,Very Sad,2022-05-18 18:13:17,18,18,5,3
2022-05-18 22:54:07,New York,29,359,40.50724,-75.70279,74,False,False,,False,2022-05-18,22:54:07,Very Sad,2022-05-18 22:54:07,22,18,5,3
2022-05-19 10:01:16,New York,29,359,40.50735,-75.70317,76,False,False,,False,2022-05-19,10:01:16,Very Sad,2022-05-19 10:01:16,10,19,5,4
2022-05-19 15:34:03,New York,29,130,43.02816,-76.13646,76,False,False,,False,2022-05-19,15:34:03,Very Sad,2022-05-19 15:34:03,15,19,5,4
2022-05-19 18:01:29,New York,29,359,40.50583,-75.70221,74,False,False,,False,2022-05-19,18:01:29,Very Sad,2022-05-19 18:01:29,18,19,5,4
2022-05-19 22:02:07,New York,29,359,40.50725,-75.7028,74,False,False,,False,2022-05-19,22:02:07,Very Sad,2022-05-19 22:02:07,22,19,5,4
2022-05-19 22:03:31,New York,29,359,40.50724,-75.703,76,False,False,,False,2022-05-19,22:03:31,Very Sad,2022-05-19 22:03:31,22,19,5,4
2022-05-20 18:02:01,New York,29,359,40.48204,-75.74096,70,False,False,,False,2022-05-20,18:02:01,Very Sad,2022-05-20 18:02:01,18,20,5,5
2022-05-21 19:34:23,New York,29,331,40.83508,-73.94364,69,False,True,,False,2022-05-21,19:34:23,Very Sad,2022-05-21 19:34:23,19,21,5,6
2022-05-22 20:02:04,New York,29,359,40.50733,-75.70303,74,False,False,,False,2022-05-22,20:02:04,Very Sad,2022-05-22 20:02:04,20,22,5,7
2022-05-22 20:03:06,New York,29,359,40.50727,-75.70292,75,False,False,,False,2022-05-22,20:03:06,Very Sad,2022-05-22 20:03:06,20,22,5,7
